                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2577,                 2.5598,                 1.6182,                0.44873,                 0.5109,                0.46045,                0.27633,                    nan,                    nan,                    nan,              0.0003027,              0.0003027,              0.0003027
                      2,                 1.3283,                 1.9604,                 1.6715,                0.50451,                0.49879,                0.48485,                 0.2847,                    nan,                    nan,                    nan,              0.0006037,              0.0006037,              0.0006037
                      3,                  1.354,                 1.9636,                 1.6905,                0.48656,                0.40918,                0.47886,                0.25234,                    nan,                    nan,                    nan,              0.0009027,              0.0009027,              0.0009027
                      4,                 1.3511,                 1.9369,                 1.6798,                  0.551,                0.51985,                0.48941,                0.29198,                    nan,                    nan,                    nan,                 0.0009,                 0.0009,                 0.0009
                      5,                 1.3084,                  1.782,                 1.6497,                0.67534,                0.49423,                  0.491,                0.31127,                    nan,                    nan,                    nan,               0.000897,               0.000897,               0.000897
                      6,                 1.2451,                 1.6539,                 1.6001,                0.54641,                0.49478,                0.45658,                0.26191,                    nan,                    nan,                    nan,               0.000894,               0.000894,               0.000894
                      7,                 1.2234,                 1.5925,                 1.5867,                0.60411,                0.57184,                0.52221,                0.31846,                    nan,                    nan,                    nan,               0.000891,               0.000891,               0.000891
                      8,                  1.192,                 1.5373,                 1.5674,                0.61363,                0.52994,                0.55004,                0.39054,                    nan,                    nan,                    nan,               0.000888,               0.000888,               0.000888
                      9,                 1.1642,                 1.4819,                 1.5389,                 0.5345,                0.45944,                0.50331,                0.34035,                    nan,                    nan,                    nan,               0.000885,               0.000885,               0.000885
                     10,                 1.1789,                 1.4959,                  1.557,                0.50372,                0.53653,                0.50059,                0.33484,                    nan,                    nan,                    nan,               0.000882,               0.000882,               0.000882
                     11,                 1.1261,                 1.4141,                 1.5117,                0.59985,                0.57552,                0.53876,                0.36051,                    nan,                    nan,                    nan,               0.000879,               0.000879,               0.000879
                     12,                 1.1121,                 1.3566,                 1.5021,                0.60544,                 0.6388,                0.62031,                0.43458,                    nan,                    nan,                    nan,               0.000876,               0.000876,               0.000876
                     13,                 1.0832,                 1.3014,                 1.4887,                0.69739,                0.60904,                0.64218,                0.45473,                    nan,                    nan,                    nan,               0.000873,               0.000873,               0.000873
                     14,                  1.069,                 1.2825,                 1.4623,                0.70251,                0.57926,                0.61082,                0.41331,                    nan,                    nan,                    nan,                0.00087,                0.00087,                0.00087
                     15,                  1.056,                 1.2348,                  1.458,                0.64156,                0.56779,                0.58937,                0.43363,                    nan,                    nan,                    nan,               0.000867,               0.000867,               0.000867
                     16,                 1.0452,                 1.2248,                 1.4451,                0.60138,                0.55715,                0.57352,                0.40096,                    nan,                    nan,                    nan,               0.000864,               0.000864,               0.000864
                     17,                 1.0343,                 1.1508,                 1.4496,                0.66187,                0.58997,                0.59821,                0.43525,                    nan,                    nan,                    nan,               0.000861,               0.000861,               0.000861
                     18,                 1.0207,                 1.1492,                 1.4287,                0.60292,                0.58964,                0.54213,                 0.3979,                    nan,                    nan,                    nan,             0.00085801,             0.00085801,             0.00085801
                     19,                 1.0022,                 1.1029,                 1.4015,                0.70282,                0.61003,                0.60769,                0.45047,                    nan,                    nan,                    nan,             0.00085501,             0.00085501,             0.00085501
                     20,                0.97841,                 1.0972,                 1.3917,                0.53955,                0.59764,                0.56772,                 0.4058,                    nan,                    nan,                    nan,             0.00085201,             0.00085201,             0.00085201
                     21,                0.98285,                 1.0949,                 1.3887,                0.55412,                0.63998,                 0.5568,                0.40633,                    nan,                    nan,                    nan,             0.00084901,             0.00084901,             0.00084901
                     22,                0.96817,                 1.0548,                 1.3815,                 0.6639,                0.63081,                 0.5962,                  0.429,                    nan,                    nan,                    nan,             0.00084601,             0.00084601,             0.00084601
                     23,                0.95437,                 1.0437,                 1.3698,                0.57475,                 0.5742,                0.55223,                  0.412,                    nan,                    nan,                    nan,             0.00084301,             0.00084301,             0.00084301
                     24,                 0.9621,                 1.0189,                 1.3687,                0.51867,                0.61245,                0.47044,                0.33043,                    nan,                    nan,                    nan,             0.00084001,             0.00084001,             0.00084001
                     25,                0.95681,                 1.0245,                 1.3625,                0.68618,                0.61478,                0.61164,                0.45979,                    nan,                    nan,                    nan,             0.00083701,             0.00083701,             0.00083701
                     26,                0.94549,                0.99237,                 1.3527,                0.59508,                0.63171,                0.58995,                0.45275,                    nan,                    nan,                    nan,             0.00083401,             0.00083401,             0.00083401
                     27,                0.92903,                0.97641,                 1.3589,                0.62073,                0.66391,                0.60238,                0.45999,                    nan,                    nan,                    nan,             0.00083101,             0.00083101,             0.00083101
                     28,                 0.9133,                0.96254,                 1.3443,                0.73901,                0.61193,                0.62963,                0.47869,                    nan,                    nan,                    nan,             0.00082801,             0.00082801,             0.00082801
                     29,                0.93167,                0.97008,                 1.3504,                0.60589,                0.59926,                0.57307,                0.44125,                    nan,                    nan,                    nan,             0.00082501,             0.00082501,             0.00082501
                     30,                 0.9079,                0.93659,                 1.3405,                0.63825,                0.59295,                0.58872,                0.44477,                    nan,                    nan,                    nan,             0.00082201,             0.00082201,             0.00082201
                     31,                0.89582,                0.92897,                 1.3315,                0.60809,                 0.5805,                0.55584,                0.42452,                    nan,                    nan,                    nan,             0.00081901,             0.00081901,             0.00081901
                     32,                0.89108,                0.90882,                 1.3219,                 0.8401,                0.59421,                0.69925,                0.54089,                    nan,                    nan,                    nan,             0.00081601,             0.00081601,             0.00081601
                     33,                0.90256,                0.91462,                 1.3233,                 0.6078,                0.59317,                0.57025,                0.43649,                    nan,                    nan,                    nan,             0.00081301,             0.00081301,             0.00081301
                     34,                0.87736,                0.88417,                 1.3156,                0.70885,                0.57694,                0.59678,                0.46679,                    nan,                    nan,                    nan,             0.00081001,             0.00081001,             0.00081001
                     35,                0.87896,                0.86107,                 1.3155,                 0.6091,                0.57349,                0.48891,                0.36266,                    nan,                    nan,                    nan,             0.00080701,             0.00080701,             0.00080701
                     36,                0.86897,                0.86243,                 1.3105,                0.65058,                0.60613,                0.58362,                 0.4519,                    nan,                    nan,                    nan,             0.00080401,             0.00080401,             0.00080401
                     37,                0.87504,                0.84714,                 1.3174,                 0.7784,                0.61804,                0.68171,                0.52592,                    nan,                    nan,                    nan,             0.00080101,             0.00080101,             0.00080101
                     38,                0.86638,                 0.8414,                 1.3034,                0.60891,                0.59524,                0.53732,                0.39812,                    nan,                    nan,                    nan,             0.00079801,             0.00079801,             0.00079801
                     39,                0.85493,                0.84962,                 1.2918,                0.71122,                0.65348,                0.65461,                0.52438,                    nan,                    nan,                    nan,             0.00079501,             0.00079501,             0.00079501
                     40,                0.84367,                0.83855,                 1.2819,                0.64022,                0.60871,                0.60041,                 0.4712,                    nan,                    nan,                    nan,             0.00079201,             0.00079201,             0.00079201
                     41,                0.85273,                0.81935,                 1.2986,                0.76611,                0.60596,                 0.6715,                0.52336,                    nan,                    nan,                    nan,             0.00078901,             0.00078901,             0.00078901
                     42,                0.83714,                0.81068,                  1.279,                0.57948,                0.69846,                 0.5649,                0.42472,                    nan,                    nan,                    nan,             0.00078601,             0.00078601,             0.00078601
                     43,                 0.8316,                 0.8078,                 1.2779,                0.66672,                0.58959,                0.62524,                0.49384,                    nan,                    nan,                    nan,             0.00078301,             0.00078301,             0.00078301
                     44,                0.85078,                0.79578,                 1.2927,                0.80803,                0.62144,                0.65745,                0.51429,                    nan,                    nan,                    nan,             0.00078001,             0.00078001,             0.00078001
                     45,                0.83608,                0.79886,                 1.2704,                 0.6681,                0.63841,                 0.6525,                0.50841,                    nan,                    nan,                    nan,             0.00077701,             0.00077701,             0.00077701
                     46,                 0.8334,                0.81183,                  1.279,                0.66459,                0.59892,                0.60075,                0.47596,                    nan,                    nan,                    nan,             0.00077401,             0.00077401,             0.00077401
                     47,                0.83592,                0.78243,                 1.2833,                0.73611,                0.64055,                0.66199,                0.52978,                    nan,                    nan,                    nan,             0.00077101,             0.00077101,             0.00077101
